specobjid,z,z_noqso,snMedian,run2d,ra,dec,plate,mjd,fiberid
443748906291980288,0.07175529,0,56.74068,26,13.027984,1.0212934,394,51913,525
1072029649933985792,0.011112,0,56.71389,26,174.49481,59.616962,952,52409,629
488692543119190016,0.02827787,0,56.70911,26,116.78712,42.078714,434,51885,189
1105760468607199232,0.01401056,0,56.6978,26,311.82944,0.32079924,982,52466,461
642983992915683328,0.01657175,0,56.67681,26,146.51477,4.4034352,571,52286,346
639541971228059648,0.01164638,0,56.67654,26,142.05084,3.408376,568,52254,112
629452578693867520,0.02525373,0,56.65399,26,153.85944,58.894906,559,52316,271
6911043394123833344,0.2013747,0.2013747,56.63753,v5_10_0,357.38735,16.606245,6138,56598,981
2032259567345231872,0.01699223,0,56.61913,26,209.55358,6.5181847,1805,53875,37
2099918005914855424,0.01044269,0,56.61798,26,111.64746,43.296347,1865,53312,417
1432293440598599680,0.02634611,0,56.60765,26,136.9602,33.468133,1272,52989,541
4070177728149561344,0.07071865,0.07071865,56.59258,v5_10_0,37.52983,-0.7231082,3615,55179,180
402112323415730176,0.02954781,0,56.5908,26,261.49217,56.636831,357,51813,604
527064949625743360,0.03523773,0,56.58718,26,133.28981,2.246421,468,51912,523
2722555231014512640,0.01493727,0,56.58562,26,120.08741,11.319454,2418,53794,470
2049172810546309120,0.03274072,0,56.58046,26,233.44893,5.2915289,1820,54208,127
2443294946959058944,0.01375328,0,56.57758,26,237.4371,18.526923,2170,53875,335
1874766331333601280,0.02274616,0,56.56911,26,50.122306,41.514563,1665,52976,520
506790230020352000,0.0479116,0,56.56174,26,136.60232,55.238484,450,51908,492
606860908261566464,0.03264282,0,56.55296,26,226.69003,1.0027746,539,52017,3
1468308768667232256,0.02856037,0,56.54961,26,144.5216,9.6166857,1304,52993,492
2967969804578744320,0.1206776,0,56.54393,26,34.772383,0.86635665,2636,54082,355
1875913122213029888,0.0193608,0,56.51249,26,50.46454,41.797261,1666,52991,596
2446676494953506816,0.02719703,0,56.50372,26,239.01068,21.383735,2173,53874,349
351381404585584640,0.02927967,0,56.50094,26,228.68322,1.1542898,312,51689,366
391955033035401216,0.02469755,0,56.49756,26,248.92007,0.3313809,348,51696,516
549487015406626816,0.04109709,0,56.47477,26,154.97008,63.951513,488,51914,174
2509790110799652864,0.01316277,0,56.46098,26,183.62396,28.423448,2229,53823,579
6910939765152915456,0.1064873,0.1064873,56.45168,v5_10_0,355.4612,16.509488,6138,56598,604
675637564635375616,0.004404172,0,56.43623,26,186.32827,64.933479,600,52317,355
2475982322789279744,0.01468728,0,56.43051,26,240.46424,17.957492,2199,53556,467
543924586551470080,0.01692267,0,56.42434,26,133.64549,57.166712,483,51942,418
2445624268298414080,0.03208175,0,56.42406,26,239.14032,20.052369,2172,54230,617
482017682871314432,0.02650658,0,56.42348,26,32.889832,13.917156,428,51883,482
1875775408381650944,0.02710917,0,56.41713,26,50.311429,40.253634,1666,52991,95
443729115082680320,0.06690234,0,56.40948,26,12.947579,0.98969931,394,51913,453
2990529316023986176,0.02214733,0,56.40216,26,182.23057,25.19172,2656,54484,506
1426645798166226944,0.02007754,0,56.39713,26,126.57524,27.84013,1267,52932,475
5386341533464109056,0.03476376,0.03476376,56.36724,v5_10_0,210.05476,3.4243908,4784,55677,132
1874687441374308352,0.01642594,0,56.34425,26,49.489885,41.497284,1665,52976,233
2522065058612144128,0.02531029,0,56.32617,26,194.18133,27.178796,2240,53823,179
2446602827674445824,0.03118965,0,56.32604,26,240.15568,19.723214,2173,53874,81
345669990998894592,0.005755075,0,56.29358,26,220.23482,-0.31817036,307,51663,68
4596013669729411072,0.03962658,0.03962658,56.28695,v5_10_0,319.25764,6.4188184,4082,55367,328
654297968739903488,0.02076296,0,56.28497,26,167.41647,5.3502135,581,52356,546
2788883824145098752,0.01939143,0,56.28187,26,161.06223,22.371183,2477,54058,108
3383376855745798144,-0.0001925312,0,56.26866,104,240.49137,27.707867,3005,54876,173
751141575286876160,0.01670082,0,56.24844,26,33.365766,-7.6972332,667,52163,605
4278441178519543808,0.0414594,0.0414594,56.24727,v5_10_0,119.88377,37.88699,3800,55486,78
310816576037218304,0.03829499,0,56.24611,26,162.90058,-1.0878652,276,51909,248
5302036480125804544,0.06306109,0.06306109,56.24071,v5_10_0,206.00558,41.19384,4709,55720,632
609251795323086848,0.06084446,0,56.21673,26,115.08628,33.064782,541,51959,509
2479247872491546624,0.03443128,0,56.20157,26,246.65602,13.683425,2202,53566,59
986432668654659584,0.04501657,0,56.19876,26,163.4792,51.335218,876,52346,525
737491138411259904,0.02103523,0,56.19554,26,10.40036,-10.741242,655,52162,97
2647116363474167808,0.0488139,0,56.17927,26,155.57344,30.050353,2351,53772,457
4097336215547650048,0.05451997,0.05451997,56.17736,v5_10_0,24.80876,0.76949611,3639,55205,678
488781603561039872,0.03203221,0,56.16715,26,117.89846,42.880109,434,51885,513
5867117016935014400,0.04026792,0.04026792,56.14479,v5_10_0,235.73135,8.2280138,5211,56002,191
2582913404972853248,0.05154847,0,56.13032,26,141.68307,25.522985,2294,53733,360
7232975720342855680,0.0209806,0.0209806,56.12759,v5_10_0,155.46908,23.860778,6424,56272,708
887347704282245120,0.03767321,0,56.12321,26,213.75891,60.046958,788,52338,504
2647137254195095552,0.03755375,0,56.11472,26,155.80313,29.861679,2351,53772,533
2582858154513557504,0.0627137,0,56.11422,26,143.48359,25.379115,2294,53733,159
2995016423312484352,0.01593971,0,56.09256,26,190.38112,26.042664,2660,54504,446
2283341567806695424,0.01433768,0,56.09066,26,207.65008,33.704829,2028,53818,60
637378406954067968,0.02636507,0,56.08937,26,135.88896,3.375846,566,52238,433
2991552686773528576,0.02235213,0,56.0798,26,183.90651,23.981876,2657,54502,133
862556464328239104,0.02885592,0,56.06391,26,138.46647,50.842695,766,52247,426
4039854846806827008,0.07367938,0.07367938,56.04664,v5_10_0,9.26710839999998,-1.152315,3588,55184,458
1920929609721866240,0.0184465,0,56.04185,26,213.91345,14.282616,1706,53442,525
6011442485267505152,0.04577513,0.04577513,55.96889,v5_10_0,156.21643,9.5683281,5339,55922,956
3250586081288100864,0.1531007,0,55.96733,103,91.808625,24.115194,2887,54495,411
6944743143741825024,0.04408668,0.04408668,55.95173,v5_10_0,347.67614,7.5677227,6168,56187,700
310857807723259904,0.03866832,0,55.93966,26,162.4215,0.3631152,276,51909,398
516954115775948800,0.01337015,0,55.93946,26,49.277771,-6.5021555,459,51924,604
5788525295876153344,0.06693793,0.06693793,55.93663,v5_10_0,319.92567,2.1373458,5141,55746,996
1875837805666527232,0.01773069,0,55.93204,26,49.003726,42.074492,1666,52991,322
433635047979902976,0.02210625,0,55.93071,26,355.98312,0.21805952,385,51877,595
443704376071055360,0.1038223,0,55.92986,26,12.452213,0.98486016,394,51913,363
4768293949071663104,0.04336624,0.04336624,55.92525,v5_10_0,31.719967,-0.51809557,4235,55451,392
3089623622554249216,0.01378091,0,55.90061,26,211.59298,16.483439,2744,54272,561
